아티스트,곡정보,앨범,좋아요
MSG워너비(M.O.M),듣고 싶을까,듣고 싶을까,72862
Charlie Puth,That's Hilarious,That's Hilarious,70947
제시 (Jessi),ZOOM,ZOOM,42461
주시크 (Joosiq),아무래도 난,아무래도 난,48521
임영웅,사랑역,IM HERO,35280
임영웅,보금자리,IM HERO,34930
임영웅,사랑해요 그대를,IM HERO,35129
세븐틴,HOT,SEVENTEEN 4th Album 'Face the Sun',63591
태연 (TAEYEON),Weekend,Weekend,176993
aespa,Next Level,Next Level,245906
주시크 (Joosiq),너를 생각해,너를 생각해,128298
방탄소년단,봄날,YOU NEVER WALK ALONE,563111
YENA (최예나),SMILEY (Feat. BIBI),ˣ‿ˣ (SMiLEY),114205
sokodomo,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",쇼미더머니 10 Episode 2,206787
"Coldplay, 방탄소년단",My Universe,My Universe,162251
성시경,너의 모든 순간,별에서 온 그대 OST Part.7,214257
다비치,팡파레,Season Note,19784
아이유,드라마,조각집,140399
케이시 (Kassy),언제나 사랑해,조영수 리메이크 프로젝트 Part.2,52942
BE'O (비오),리무진 (Feat. MINO) (Prod. GRAY),쇼미더머니 10 Episode 3,178672
방탄소년단,Born Singer,Proof,52008
아이유,내 손을 잡아,최고의 사랑 OST Part.4,193388
아이유,strawberry moon,strawberry moon,197434
세븐틴,Darl+ing,SEVENTEEN 4th Album 'Face the Sun',69721
"디핵 (D-Hack), PATEKO (파테코)",OHAYO MY NIGHT,OHAYO MY NIGHT,187025
STAYC(스테이씨),RUN2U,YOUNG-LUV.COM,73907
MSG워너비(M.O.M),바라만 본다,MSG워너비 1집,177007
자우림,"스물다섯, 스물하나","Goodbye, grief.",194348
폴킴,"모든 날, 모든 순간 (Every day, Every Moment)",'키스 먼저 할까요?' OST Part.3,395234
NCT DREAM,Beatbox,Beatbox - The 2nd Album Repackage,65142
방탄소년단,달려라 방탄,Proof,45620
임재현,고백하는 취한밤에 (Prod. 2soo),고백하는 취한밤에,9715
아이유,Celebrity,IU 5th Album 'LILAC',320559
탑현,호랑수월가,호랑수월가,70242
V.O.S,미친 것처럼,아픔을 말하는,15728
Justin Bieber,Off My Face,Justice (The Complete Edition),124127
방탄소년단,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),MAP OF THE SOUL : PERSONA,437047
경서,밤하늘의 별을(2020),밤하늘의 별을(2020),192601
방탄소년단,For Youth,Proof,45618
이무진,눈이 오잖아(Feat.헤이즈),눈이 오잖아(Feat.헤이즈),85382
aespa,Savage,Savage - The 1st Mini Album,148511
아이유,라일락,IU 5th Album 'LILAC',241682
브레이브걸스,롤린 (Rollin'),Rollin',294865
멜로망스,고백,세 번째 '고백',83323
BE'O (비오),Counting Stars (Feat. Beenzino),Counting Stars,161108
볼빨간사춘기,Seoul,Seoul,35118
Ed Sheeran,Bad Habits,=,114956
호미들,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",사이렌 Remix,143941
BIG Naughty (서동현),"낭만교향곡 (Feat. CHANGMO, 박재범)",낭만,25119
김호중,빛이 나는 사람,빛이 나는 사람,6580
마크툽 (MAKTUB),찰나가 영원이 될 때 (The Eternal Moment),Red Moon : Beyond The Light,63912
BE'O (비오),문득,Bipolar,107467
아이유,Blueming,Love poem,338861
오마이걸 (OH MY GIRL),Dun Dun Dance,Dear OHMYGIRL,159025
GOT the beat,Step Back,Step Back,92678
AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",항해,383796
헤이즈 (Heize),헤픈 우연,HAPPEN,177890
싸이 (PSY),Celeb,싸다9,16451
"지민, 하성운",With you,우리들의 블루스 OST Part 4,53367
한동근,사랑인걸,사랑인걸,29061
원슈타인,존재만으로,스물다섯 스물하나 OST Part 4,63126
NCT DREAM,버퍼링 (Glitch Mode),Glitch Mode - The 2nd Album,80497
GAYLE, abcdefu,abcdefu,95301
세븐틴,DON QUIXOTE,SEVENTEEN 4th Album 'Face the Sun',38906
볼빨간사춘기,Love story,Seoul,37819
